date,increase,decrease,diff,score
2017-09-29,1,0,1,1.0
2017-10-31,0,0,0,NaN
2017-11-12,1,0,1,1.0
2017-11-13,0,0,0,NaN
2017-11-14,1,0,1,1.0
2017-11-20,1,0,1,1.0
2017-11-23,1,0,1,1.0
2017-11-27,0,1,-1,-1.0
2017-11-28,0,1,-1,-1.0
2017-12-01,1,0,1,1.0
2017-12-04,0,0,0,NaN
2017-12-05,1,0,1,1.0
2017-12-08,1,0,1,1.0
2017-12-11,1,0,1,1.0
2017-12-15,0,1,-1,-1.0
2017-12-19,1,1,0,0.0
2017-12-20,1,0,1,1.0
2017-12-21,0,0,0,NaN
2017-12-28,0,1,-1,-1.0
2018-01-02,0,0,0,NaN
2018-01-05,0,1,-1,-1.0
2018-01-10,0,1,-1,-1.0
2018-01-13,0,0,0,NaN
2018-01-21,1,0,1,1.0
2018-01-23,1,0,1,1.0
2018-01-30,1,0,1,1.0
2018-01-31,1,0,1,1.0
2018-02-01,1,0,1,1.0
2018-02-02,1,0,1,1.0
2018-02-05,0,0,0,NaN
2018-02-08,2,0,2,1.0
2018-02-15,1,0,1,1.0
2018-02-16,0,0,0,NaN
2018-02-26,0,0,0,NaN
2018-02-27,1,0,1,1.0
2018-03-09,0,1,-1,-1.0
2018-03-10,1,0,1,1.0
2018-03-19,0,2,-2,-1.0
2018-03-21,1,0,1,1.0
2018-03-22,1,1,0,0.0
2018-03-25,1,0,1,1.0
2018-03-29,1,0,1,1.0
2018-04-03,1,0,1,1.0
2018-04-05,1,0,1,1.0
2018-04-10,0,1,-1,-1.0
2018-04-17,1,0,1,1.0
2018-04-19,1,0,1,1.0
2018-04-24,0,1,-1,-1.0
2018-04-29,0,0,0,NaN
2018-05-02,0,1,-1,-1.0
2018-05-08,0,0,0,NaN
2018-05-14,1,0,1,1.0
2018-05-19,1,0,1,1.0
2018-05-22,0,1,-1,-1.0
2018-06-06,1,1,0,0.0
2018-06-13,1,0,1,1.0
2018-06-15,1,0,1,1.0
2018-06-22,0,1,-1,-1.0
2018-06-26,0,1,-1,-1.0
2018-07-02,2,0,2,1.0
2018-07-03,0,0,0,NaN
2018-07-04,1,0,1,1.0
2018-07-11,1,0,1,1.0
2018-07-13,1,0,1,1.0
2018-07-14,1,0,1,1.0
2018-07-16,1,0,1,1.0
2018-07-17,1,0,1,1.0
2018-07-18,1,0,1,1.0
2018-07-19,2,0,2,1.0
2018-07-20,1,0,1,1.0
2018-07-21,0,1,-1,-1.0
2018-07-24,2,1,1,0.3333333333333333
2018-07-31,1,1,0,0.0
2018-08-01,0,1,-1,-1.0
2018-08-02,1,0,1,1.0
2018-08-09,2,0,2,1.0
2018-08-10,0,1,-1,-1.0
2018-08-17,1,0,1,1.0
2018-08-19,0,0,0,NaN
2018-08-24,1,0,1,1.0
2018-08-25,2,0,2,1.0
2018-08-29,1,0,1,1.0
2018-08-31,1,0,1,1.0
2018-09-04,1,1,0,0.0
2018-09-05,1,1,0,0.0
2018-09-07,1,1,0,0.0
2018-09-10,0,0,0,NaN
2018-09-13,4,0,4,1.0
2018-09-16,2,0,2,1.0
2018-09-17,2,0,2,1.0
2018-09-18,0,0,0,NaN
2018-09-19,1,0,1,1.0
2018-09-24,1,0,1,1.0
2018-09-26,1,0,1,1.0
2018-10-03,1,0,1,1.0
2018-10-06,2,0,2,1.0
2018-10-16,1,0,1,1.0
2018-10-17,1,0,1,1.0
2018-10-19,1,0,1,1.0
2018-10-20,0,0,0,NaN
2018-10-21,1,0,1,1.0
2018-10-24,3,0,3,1.0
2018-10-25,0,0,0,NaN
2018-10-26,0,1,-1,-1.0
2018-10-28,1,0,1,1.0
2018-10-29,0,1,-1,-1.0
2018-10-30,5,0,5,1.0
2018-10-31,2,0,2,1.0
2018-11-05,1,0,1,1.0
2018-11-06,1,0,1,1.0
2018-11-12,1,0,1,1.0
2018-11-14,0,1,-1,-1.0
2018-11-16,1,0,1,1.0
2018-11-17,1,0,1,1.0
2018-11-27,1,0,1,1.0
2018-12-04,1,0,1,1.0
2018-12-12,1,0,1,1.0
2018-12-13,1,0,1,1.0
2019-01-03,1,0,1,1.0
2019-01-04,1,0,1,1.0
2019-01-09,1,0,1,1.0
2019-01-17,0,1,-1,-1.0
2019-01-18,1,0,1,1.0
2019-01-23,0,0,0,NaN
2019-01-28,1,0,1,1.0
2019-01-30,0,0,0,NaN
2019-02-08,1,0,1,1.0
2019-02-19,0,1,-1,-1.0
2019-02-20,1,0,1,1.0
2019-02-22,1,0,1,1.0
2019-02-26,1,0,1,1.0
2019-02-27,1,0,1,1.0
2019-02-28,0,0,0,NaN
2019-03-01,0,1,-1,-1.0
2019-03-03,0,0,0,NaN
2019-03-05,2,0,2,1.0
2019-03-07,1,0,1,1.0
2019-03-10,0,0,0,NaN
2019-03-15,2,0,2,1.0
2019-04-02,0,1,-1,-1.0
2019-04-04,0,1,-1,-1.0
2019-04-06,0,0,0,NaN
2019-04-09,0,1,-1,-1.0
2019-04-13,0,1,-1,-1.0
2019-04-15,2,0,2,1.0
2019-04-27,1,0,1,1.0
2019-04-29,1,0,1,1.0
2019-05-06,0,1,-1,-1.0
2019-05-08,0,0,0,NaN
2019-05-09,1,0,1,1.0
2019-05-10,0,1,-1,-1.0
2019-05-16,0,0,0,NaN
2019-05-21,0,0,0,NaN
2019-05-22,0,0,0,NaN
2019-05-23,0,1,-1,-1.0
2019-05-24,0,1,-1,-1.0
2019-05-26,1,0,1,1.0
2019-05-29,0,0,0,NaN
2019-05-30,1,0,1,1.0
2019-06-03,2,0,2,1.0
2019-06-06,0,1,-1,-1.0
2019-06-14,0,1,-1,-1.0
2019-06-21,1,0,1,1.0
2019-07-19,1,0,1,1.0
2019-08-20,0,0,0,NaN
2019-09-24,0,1,-1,-1.0
2019-10-02,0,1,-1,-1.0
2019-10-08,0,1,-1,-1.0
2019-10-21,1,0,1,1.0
2019-10-30,1,0,1,1.0
2019-11-01,1,0,1,1.0
2019-11-14,1,0,1,1.0
2019-12-11,1,0,1,1.0
2019-12-26,1,0,1,1.0
2020-01-14,1,0,1,1.0
2020-01-17,0,0,0,NaN
2020-01-18,0,1,-1,-1.0
2020-01-27,0,4,-4,-1.0
2020-02-03,1,0,1,1.0
2020-02-06,1,0,1,1.0
2020-02-12,0,1,-1,-1.0
2020-02-14,2,0,2,1.0
2020-03-20,1,0,1,1.0
2020-04-16,0,0,0,NaN
2020-05-14,1,0,1,1.0
2020-06-16,0,1,-1,-1.0
2020-07-11,0,1,-1,-1.0
2020-07-28,1,0,1,1.0
2020-08-09,0,1,-1,-1.0
2020-08-12,1,0,1,1.0
2020-08-16,2,0,2,1.0
2020-08-18,1,0,1,1.0
2020-08-21,0,1,-1,-1.0
2020-09-03,0,1,-1,-1.0
2020-09-05,1,1,0,0.0
2020-11-06,1,0,1,1.0
2020-11-07,0,1,-1,-1.0
2020-11-10,1,1,0,0.0
2020-11-11,1,0,1,1.0
2020-11-13,0,1,-1,-1.0
2020-11-15,1,0,1,1.0
2020-11-16,1,0,1,1.0
2020-11-19,1,0,1,1.0
2020-11-20,2,0,2,1.0
2020-11-21,2,0,2,1.0
2020-11-22,1,0,1,1.0
2020-11-24,1,0,1,1.0
2020-11-30,0,1,-1,-1.0
2020-12-03,1,0,1,1.0
2020-12-04,1,0,1,1.0
2020-12-05,0,1,-1,-1.0
2020-12-09,3,0,3,1.0
2020-12-10,1,0,1,1.0
2020-12-11,0,0,0,NaN
2020-12-12,1,0,1,1.0
2020-12-15,1,0,1,1.0
2020-12-18,1,0,1,1.0
2020-12-19,0,1,-1,-1.0
2020-12-21,0,1,-1,-1.0
2020-12-23,1,0,1,1.0
2020-12-24,1,0,1,1.0
2020-12-25,1,0,1,1.0
2020-12-26,0,1,-1,-1.0
2020-12-28,1,1,0,0.0
2020-12-29,0,1,-1,-1.0
2020-12-31,2,2,0,0.0
2021-01-03,1,0,1,1.0
2021-01-04,2,0,2,1.0
2021-01-05,1,0,1,1.0
2021-01-06,2,0,2,1.0
2021-01-07,1,0,1,1.0
2021-01-09,0,1,-1,-1.0
2021-01-10,1,0,1,1.0
2021-01-11,0,1,-1,-1.0
2021-01-12,2,0,2,1.0
2021-01-13,2,1,1,0.3333333333333333
2021-01-15,4,1,3,0.6
2021-01-16,2,0,2,1.0
2021-01-17,1,0,1,1.0
2021-01-20,0,2,-2,-1.0
2021-01-21,1,3,-2,-0.5
2021-01-22,1,1,0,0.0
2021-01-24,2,0,2,1.0
